A,R,S,τ
1000.0,5500.0,1057.07094839793,87.92408280022285
1000.0,5550.0,1076.4124769162158,87.94194356773613
1000.0,5600.0,1095.9289746979646,87.9656455680688
1000.0,5650.0,1115.620439918257,87.98624154541523
1000.0,5700.0,1135.4868708558135,88.00540038529104
1000.0,5750.0,1155.5282657144826,88.03181711562314
1000.0,5800.0,1175.7446226565394,88.05262805886638
1000.0,5850.0,1196.1359397678023,88.07647493977817
1000.0,5900.0,1216.7022155681502,88.09856278637271
1000.0,5950.0,1237.4434477916598,88.12123151175291
1000.0,6000.0,1258.359634922019,88.14519511793569
1050.0,1000.0,33.46128199829518,104.11649583723761
1050.0,1050.0,37.1020342125498,102.37389717927188
1050.0,1100.0,40.91981971654896,100.86861566872314
1050.0,1150.0,44.91471498875958,99.55160562606802
1050.0,1200.0,49.0867793809314,98.3984206156259
1050.0,1250.0,53.4360595322834,97.36915505405354
1050.0,1300.0,57.962592567522606,96.46318601812516
1050.0,1350.0,62.66640819356883,95.6510337168155
1050.0,1400.0,67.54753054542695,94.91998214570977
1050.0,1450.0,72.60597929889747,94.26304572662171
1050.0,1500.0,77.84177064688585,93.67124586279013
1050.0,1550.0,83.25491790336648,93.13292777268335
1050.0,1600.0,88.84543224996997,92.64632397701295
1050.0,1650.0,94.61332294424301,92.19648061905967
1050.0,1700.0,100.55859776992217,91.79145148285409
1050.0,1750.0,106.68126325897249,91.41685941096029
1050.0,1800.0,112.98132493421325,91.07716084090681
1050.0,1850.0,119.45878745215073,90.76097263204517
1050.0,1900.0,126.11365472650405,90.47042454812052
1050.0,1950.0,132.9459301073214,90.20186617225346
1050.0,2000.0,139.95561637043772,89.96040451183184
1050.0,2050.0,147.14271593178225,89.72769201208445
1050.0,2100.0,154.507230582135,89.52055355408174
1050.0,2150.0,162.04916215542883,89.32797068699685
1050.0,2200.0,169.76851191452337,89.14973025170838
1050.0,2250.0,177.66528095020698,88.98133988310235
1050.0,2300.0,185.73947026262618,88.82396673256233
1050.0,2350.0,193.99108044021423,88.68401096453738
1050.0,2400.0,202.42011207986516,88.549716255415
1050.0,2450.0,211.02656531185028,88.42699222210364
1050.0,2500.0,219.81044069527687,88.30864761601855
1050.0,2550.0,228.77173819428225,88.2054481336943
1050.0,2600.0,237.91045784730056,88.10469451156432
1050.0,2650.0,247.22659951910853,88.01574472976289
1050.0,2700.0,256.72016306713186,87.92655033818897
1050.0,2750.0,266.3911482182964,87.8437164027041
1050.0,2800.0,276.2395546436062,87.77077738987447
1050.0,2850.0,286.26538196008863,87.7050025094697
1050.0,2900.0,296.46862975907277,87.64414896372323
1050.0,2950.0,306.8492973097659,87.58590167001603
1050.0,3000.0,317.40738424144234,87.52800224585461
1050.0,3050.0,328.1428898738581,87.4793752250803
1050.0,3100.0,339.0558135451352,87.43699246236154
1050.0,3150.0,350.14615451105925,87.39431446552624
1050.0,3200.0,361.4139120586884,87.35310719299754
1050.0,3250.0,372.85908537675056,87.32406827937733
1050.0,3300.0,384.48167362587986,87.28598693949748
1050.0,3350.0,396.28167591809665,87.26238132452771
1050.0,3400.0,408.259091525535,87.23386568637876
1050.0,3450.0,420.4139193201703,87.2090528092725
1050.0,3500.0,432.74615845055644,87.18673009870919
1050.0,3550.0,445.255807850344,87.16822894603176
1050.0,3600.0,457.94286655168963,87.15110488294019
1050.0,3650.0,470.80733361544986,87.13643282366672
1050.0,3700.0,483.8492078333483,87.12212907233328
1050.0,3750.0,497.06848817134266,87.1130892299189
1050.0,3800.0,510.4651735154038,87.10698170422316
1050.0,3850.0,524.0392627625655,87.09858427526164
1050.0,3900.0,537.7907546064713,87.09046259005076
1050.0,3950.0,551.7196481952227,87.089095470269
1050.0,4000.0,565.8259417941902,87.08689690407327
1050.0,4050.0,580.1096346234428,87.08561077031638
1050.0,4100.0,594.5707253006588,87.0815541340367
1050.0,4150.0,609.209212546212,87.0841792508538
1050.0,4200.0,624.0250950812159,87.08548926862089
1050.0,4250.0,639.0183715620825,87.09324352231843
1050.0,4300.0,654.1890407045157,87.09773048199202
