t,M,P,model,gene
78.0,11.804411536485821,2730.6554321306967,Repressilator,Gene 1
79.0,11.845244035283221,2823.712746582151,Repressilator,Gene 1
80.0,11.874268753753716,2903.6049003562325,Repressilator,Gene 1
81.0,11.89487174168147,2971.941486143793,Repressilator,Gene 1
82.0,11.909435593907016,3030.2052233674367,Repressilator,Gene 1
83.0,11.91943764348065,3079.723033517347,Repressilator,Gene 1
84.0,11.924098334503874,3121.628798842762,Repressilator,Gene 1
85.0,11.90433749750881,3156.652079901762,Repressilator,Gene 1
86.0,11.665496331201469,3183.073712668349,Repressilator,Gene 1
87.0,10.30037959366318,3182.424308527586,Repressilator,Gene 1
88.0,7.821921123875333,3104.253555769259,Repressilator,Gene 1
89.0,5.625669733649006,2931.983705950238,Repressilator,Gene 1
90.0,4.003698725368033,2696.8205610813843,Repressilator,Gene 1
91.0,2.843167887425291,2432.3998420306,Repressilator,Gene 1
92.0,2.0178882651973766,2162.272488197174,Repressilator,Gene 1
93.0,1.431892092921998,1901.1413092531313,Repressilator,Gene 1
94.0,1.015992554647281,1657.4430137008242,Repressilator,Gene 1
95.0,0.7208673378377939,1435.4192957790433,Repressilator,Gene 1
96.0,0.5114609169962547,1236.5980885266201,Repressilator,Gene 1
97.0,0.3628824006177885,1060.8154299634186,Repressilator,Gene 1
98.0,0.2574650619017243,906.9061524592989,Repressilator,Gene 1
99.0,0.18267186151171408,773.1625217896616,Repressilator,Gene 1
100.0,0.12960681185963674,657.6327017801804,Repressilator,Gene 1
101.0,0.09195785647405617,558.309847396694,Repressilator,Gene 1
102.0,0.06524648253233353,473.2472855093886,Repressilator,Gene 1
103.0,0.046295172491305936,400.6243459240052,Repressilator,Gene 1
104.0,0.03284949809668819,338.779753147341,Repressilator,Gene 1
105.0,0.023309971246510616,286.22414841992673,Repressilator,Gene 1
106.0,0.016541782466394477,241.6395970594599,Repressilator,Gene 1
107.0,0.011739806877915138,203.8713619769556,Repressilator,Gene 1
108.0,0.008332825269271473,171.9154483790136,Repressilator,Gene 1
109.0,0.005915568418297227,144.90420756453727,Repressilator,Gene 1
110.0,0.00420049975361147,122.0914717149276,Repressilator,Gene 1
111.0,0.0029836666563747703,102.8381609126045,Repressilator,Gene 1
112.0,0.0021206734235478504,86.5986008336098,Repressilator,Gene 1
113.0,0.0015093193015747119,72.90769340085015,Repressilator,Gene 1
114.0,0.0010773203658962156,61.37004900825666,Repressilator,Gene 1
115.0,0.0007739307951076254,51.650354397953215,Repressilator,Gene 1
116.0,0.0005641870506422142,43.46465981681213,Repressilator,Gene 1
117.0,0.000425230450439195,36.5728067449949,Repressilator,Gene 1
118.0,0.00034451155666767125,30.771952881369426,Repressilator,Gene 1
119.0,0.00032009180124604574,25.89109016016355,Repressilator,Gene 1
120.0,0.0003639167625687611,21.786488622572946,Repressilator,Gene 1
121.0,0.0005101043684735431,18.338069371598763,Repressilator,Gene 1
122.0,0.000832500524975014,15.446828759305157,Repressilator,Gene 1
123.0,0.0014800452486156042,13.033655669401833,Repressilator,Gene 1
124.0,0.0027469065480337286,11.040305469045924,Repressilator,Gene 1
125.0,0.0052108422545909415,9.434114766997752,Repressilator,Gene 1
126.0,0.010005405767393998,8.219643992890887,Repressilator,Gene 1
127.0,0.01935319772931818,7.463550951509933,Repressilator,Gene 1
128.0,0.03760091806888081,7.344963014201043,Repressilator,Gene 1
