t,I,M,P,model,gene
-100,5.115995809754168,0.24691922522521165,57.8654280097765,GR,1
-99,5.115995809754168,0.24691923256013132,57.94187483731259,GR,1
-98,5.115995809754168,0.24691923919987493,58.01680831840884,GR,1
-97,5.115995809754168,0.24691924519029143,58.09025812601023,GR,1
-96,5.115995809754168,0.24691925060474976,58.16225328067531,GR,1
-95,5.115995809754168,0.24691925551833047,58.2328228008045,GR,1
-94,5.115995809754168,0.2469192599705225,58.30199534968686,GR,1
-93,5.115995809754168,0.24691926398080663,58.36979817007617,GR,1
-92,5.115995809754168,0.24691926760786082,58.43625816414889,GR,1
-91,5.115995809754168,0.24691927090992946,58.50140223188256,GR,1
-90,5.115995809754168,0.24691927390454127,58.565256700188236,GR,1
-89,5.115995809754168,0.2469192766079376,58.627846659280614,GR,1
-88,5.115995809754168,0.24691927905467162,58.68919704583589,GR,1
-87,5.115995809754168,0.2469192812782335,58.74933277580337,GR,1
-86,5.115995809754168,0.24691928329520638,58.808277985101164,GR,1
-85,5.115995809754168,0.24691928512032713,58.86605584342448,GR,1
-84,5.115995809754168,0.24691928677081695,58.92268946386183,GR,1
-83,5.115995809754168,0.246919288263962,58.97820189368221,GR,1
-82,5.115995809754168,0.24691928961538892,59.0326152460282,GR,1
-81,5.115995809754168,0.24691929083777872,59.08595095841855,GR,1
-80,5.115995809754168,0.24691929194361395,59.138230454956286,GR,1
-79,5.115995809754168,0.2469192929432213,59.18947501366006,GR,1
-78,5.115995809754168,0.2469192938439541,59.23970490608538,GR,1
-77,5.115995809754168,0.2469192946579813,59.28893999245349,GR,1
-76,5.115995809754168,0.24691929539768315,59.337200132499916,GR,1
-75,5.115995809754168,0.24691929606808186,59.38450491924337,GR,1
-74,5.115995809754168,0.24691929667137885,59.430872973786194,GR,1
-73,5.115995809754168,0.24691929721713213,59.476322705478715,GR,1
-72,5.115995809754168,0.24691929771476387,59.520872521103286,GR,1
-71,5.115995809754168,0.24691929816661493,59.564540409511686,GR,1
-70,5.115995809754168,0.24691929857481293,59.60734352871256,GR,1
-69,5.115995809754168,0.24691929894421086,59.649298942924354,GR,1
-68,5.115995809754168,0.24691929927959,59.69042369864212,GR,1
-67,5.115995809754168,0.24691929958419226,59.73073428354659,GR,1
-66,5.115995809754168,0.24691929986008637,59.77024654736932,GR,1
-65,5.115995809754168,0.24691930010935503,59.808976307174696,GR,1
-64,5.115995809754168,0.2469193003342862,59.84693932742387,GR,1
-63,5.115995809754168,0.24691930053777444,59.884150713097476,GR,1
-62,5.115995809754168,0.24691930072182644,59.9206251322487,GR,1
-61,5.115995809754168,0.2469193008883411,59.95637724618074,GR,1
-60,5.115995809754168,0.246919301038711,59.991421603948396,GR,1
-59,5.115995809754168,0.24691930117390695,60.025772055694596,GR,1
-58,5.115995809754168,0.24691930129606182,60.05944219162093,GR,1
-57,5.115995809754168,0.24691930140734528,60.092445601947546,GR,1
-56,5.115995809754168,0.2469193015076587,60.1247958075627,GR,1
-55,5.115995809754168,0.24691930159666858,60.15650551730184,GR,1
-54,5.115995809754168,0.24691930167621606,60.18758710187027,GR,1
-53,5.115995809754168,0.24691930174814236,60.21805293197288,GR,1
-52,5.115995809754168,0.24691930181428862,60.24791537831455,GR,1
-51,5.115995809754168,0.24691930187614655,60.277186793306164,GR,1
-50,5.115995809754168,0.24691930193033135,60.3058789012161,GR,1
-49,5.115995809754168,0.24691930197706174,60.33400278359138,GR,1
-48,5.115995809754168,0.2469193020183434,60.361569510883854,GR,1
-47,5.115995809754168,0.2469193020561821,60.38859015354538,GR,1
-46,5.115995809754168,0.24691930209258356,60.41507578202778,GR,1
-45,5.115995809754168,0.2469193021280033,60.44103735259018,GR,1
-44,5.115995809754168,0.2469193021582045,60.46648498147065,GR,1
-43,5.115995809754168,0.24691930218406158,60.491428548576216,GR,1
-42,5.115995809754168,0.2469193022070347,60.51587794916808,GR,1
-41,5.115995809754168,0.2469193022285843,60.53984307850746,GR,1
-40,5.115995809754168,0.2469193022501706,60.56333383185554,GR,1
-39,5.115995809754168,0.24691930227110678,60.58635981558899,GR,1
-38,5.115995809754168,0.2469193022894272,60.60892987854676,GR,1
-37,5.115995809754168,0.246919302305646,60.63105284236257,GR,1
-36,5.115995809754168,0.24691930232029022,60.65273752954063,GR,1
-35,5.115995809754168,0.24691930233388695,60.67399276258517,GR,1
-34,5.115995809754168,0.24691930234693651,60.69482735515389,GR,1
-33,5.115995809754168,0.24691930235917658,60.71524966736234,GR,1
-32,5.115995809754168,0.24691930237038676,60.73526755946035,GR,1
-31,5.115995809754168,0.24691930238057994,60.7548888915462,GR,1
-30,5.115995809754168,0.24691930238976914,60.77412152371814,GR,1
-29,5.115995809754168,0.24691930239796725,60.792973316074445,GR,1
-28,5.115995809754168,0.24691930240522708,60.81145208042467,GR,1
-27,5.115995809754168,0.24691930241177942,60.82956509579825,GR,1
-26,5.115995809754168,0.24691930241770618,60.84731936947082,GR,1
-25,5.115995809754168,0.2469193024230628,60.864721913212904,GR,1
-24,5.115995809754168,0.2469193024279047,60.881779738795075,GR,1
-23,5.115995809754168,0.24691930243228732,60.8984998579879,GR,1
