t,M,P,model,sim,gene
100,1.0468969954031124e-5,0.0029636702855920303,Toggle,1,1
101,1.0468964199190908e-5,0.002959449762909345,Toggle,1,1
102,1.0468959360153998e-5,0.0029559004724917493,Toggle,1,1
103,1.0468955291185134e-5,0.002952915683448431,Toggle,1,1
104,1.0468951869698238e-5,0.0029504055990897875,Toggle,1,1
105,1.0468948992673793e-5,0.0029482947410028053,Toggle,1,1
106,1.0468946573507455e-5,0.002946519646318076,Toggle,1,1
107,1.0468944539296553e-5,0.0029450268844982506,Toggle,1,1
108,1.0468942828734534e-5,0.0029437715174386145,Toggle,1,1
109,1.0468941390311132e-5,0.0029427157824690672,Toggle,1,1
110,1.0468940180746285e-5,0.0029418279465161044,Toggle,1,1
111,1.0468939163640708e-5,0.0029410813184793543,Toggle,1,1
112,1.0468938308367184e-5,0.00294045343749754,Toggle,1,1
113,1.0468937589167218e-5,0.0029399254113767403,Toggle,1,1
114,1.0468936984389437e-5,0.002939481358642625,Toggle,1,1
115,1.0468936475833109e-5,0.002939107927657464,Toggle,1,1
116,1.0468936048191251e-5,0.0029387938885205066,Toggle,1,1
117,1.0468935688588526e-5,0.002938529794513268,Toggle,1,1
118,1.0468935386197889e-5,0.0029383077010942055,Toggle,1,1
119,1.0468935131916838e-5,0.0029381209286010166,Toggle,1,1
120,1.0468934918091971e-5,0.002937963860316356,Toggle,1,1
121,1.046893473829935e-5,0.0029378317814202437,Toggle,1,1
122,1.0468934587126373e-5,0.0029377207190708853,Toggle,1,1
123,1.0468934460042996e-5,0.002937627347905736,Toggle,1,1
124,1.0468934353175926e-5,0.002937548824539904,Toggle,1,1
125,1.0468934263288433e-5,0.002937482772741525,Toggle,1,1
126,1.0468934187711827e-5,0.0029374272330372213,Toggle,1,1
127,1.0468934124120819e-5,0.0029373804980808117,Toggle,1,1
128,1.0468934070645713e-5,0.0029373411948160635,Toggle,1,1
129,1.0468934025679984e-5,0.0029373081434806046,Toggle,1,1
130,1.0468933987866672e-5,0.0029372803474363015,Toggle,1,1
131,1.0468933956070243e-5,0.0029372569726361813,Toggle,1,1
132,1.04689339293394e-5,0.0029372373203342384,Toggle,1,1
133,1.0468933906850327e-5,0.0029372207853996164,Toggle,1,1
134,1.0468933887938929e-5,0.0029372068799938572,Toggle,1,1
135,1.0468933872034555e-5,0.002937195184796309,Toggle,1,1
136,1.046893385865947e-5,0.002937185348820939,Toggle,1,1
137,1.0468933847424667e-5,0.0029371770862731484,Toggle,1,1
138,1.0468933837972759e-5,0.0029371701344442,Toggle,1,1
139,1.0468933830052148e-5,0.0029371643084921246,Toggle,1,1
140,1.0468933823374896e-5,0.0029371593966997047,Toggle,1,1
141,1.0468933817776025e-5,0.0029371552778740544,Toggle,1,1
142,1.0468933813067628e-5,0.002937151813903342,Toggle,1,1
143,1.0468933809085562e-5,0.002937148884074449,Toggle,1,1
144,1.04689338057495e-5,0.0029371464293469446,Toggle,1,1
145,1.0468933802922113e-5,0.0029371443487814387,Toggle,1,1
146,1.0468933800546321e-5,0.0029371426003856407,Toggle,1,1
147,1.0468933798544578e-5,0.0029371411271622975,Toggle,1,1
148,1.0468933796860014e-5,0.0029371398872780835,Toggle,1,1
149,1.0468933795443793e-5,0.002937138844812875,Toggle,1,1
150,1.0468933794264657e-5,0.0029371379767951025,Toggle,1,1
