A,R,amplitude,period
1.0e6,3900.0,1789.5913022742432,65.39999999999986
1.0e6,3950.0,1814.1386748894165,65.5
1.0e6,4000.0,1838.6740619875488,65.59999999999991
1.0e6,4050.0,1863.2239330090342,65.69999999999982
1.0e6,4100.0,1887.7765741494752,65.79999999999995
1.0e6,4150.0,1912.3186403300576,65.90000000000009
1.0e6,4200.0,1936.8496298395603,66.0
1.0e6,4250.0,1961.394454126299,66.09999999999991
1.0e6,4300.0,1985.9554651529786,66.20000000000005
1.0e6,4350.0,2010.5145410676519,66.29999999999995
1.0e6,4400.0,2035.0336391684216,66.29999999999995
1.0e6,4450.0,2059.615412331798,66.5
1.0e6,4500.0,2084.1716904956065,66.60000000000014
1.0e6,4550.0,2108.7272350919407,66.60000000000014
1.0e6,4600.0,2133.2877272652495,66.70000000000005
1.0e6,4650.0,2157.8436498522665,66.90000000000009
1.0e6,4700.0,2182.3852922816536,66.89999999999986
1.0e6,4750.0,2206.9735041627387,67.0
1.0e6,4800.0,2231.5346984193275,67.10000000000014
1.0e6,4850.0,2256.086252427048,67.19999999999982
1.0e6,4900.0,2280.6503210527867,67.20000000000005
1.0e6,4950.0,2305.234545414053,67.30000000000018
1.0e6,5000.0,2329.8034346303825,67.5
1.0e6,5050.0,2354.3904927788785,67.5
1.0e6,5100.0,2378.990434123988,67.60000000000014
1.0e6,5150.0,2403.548889615687,67.79999999999995
1.0e6,5200.0,2428.1597663315047,67.80000000000018
1.0e6,5250.0,2452.731293418417,67.79999999999995
1.0e6,5300.0,2477.307994495924,68.0
1.0e6,5350.0,2501.911582072457,68.09999999999991
1.0e6,5400.0,2526.506700445295,68.20000000000005
1.0e6,5450.0,2551.0949517141407,68.20000000000005
1.0e6,5500.0,2575.724699513175,68.29999999999995
1.0e6,5550.0,2600.3359362069837,68.39999999999986
1.0e6,5600.0,2624.9182987756326,68.40000000000009
1.0e6,5650.0,2649.554379466074,68.5
1.0e6,5700.0,2674.165152503345,68.60000000000014
1.0e6,5750.0,2698.756458669418,68.59999999999991
1.0e6,5800.0,2723.3766433892565,68.79999999999995
1.0e6,5850.0,2748.004578290859,68.89999999999986
1.0e6,5900.0,2772.6220244736824,69.0
1.0e6,5950.0,2797.2587698935445,69.0
1.0e6,6000.0,2821.914704203672,69.09999999999991
1.05e6,1000.0,336.50227998943615,56.799999999999955
1.05e6,1050.0,364.7570377531012,57.0
1.05e6,1100.0,392.4549976419192,57.200000000000045
1.05e6,1150.0,419.70514007566925,57.299999999999955
1.05e6,1200.0,446.5899745602699,57.5
1.05e6,1250.0,473.17903605093124,57.700000000000045
1.05e6,1300.0,499.515812460614,57.899999999999864
1.05e6,1350.0,525.6416195973524,58.09999999999991
1.05e6,1400.0,551.5857500879977,58.30000000000018
1.05e6,1450.0,577.376229007029,58.399999999999864
1.05e6,1500.0,603.0310461789109,58.59999999999991
1.05e6,1550.0,628.5677535189327,58.799999999999955
1.05e6,1600.0,654.0068708603751,59.0
1.05e6,1650.0,679.3491820855799,59.09999999999991
1.05e6,1700.0,704.6169564923373,59.30000000000018
1.05e6,1750.0,729.8156928953297,59.5
1.05e6,1800.0,754.9511933001139,59.600000000000136
1.05e6,1850.0,780.0242832844253,59.799999999999955
1.05e6,1900.0,805.0571284234536,59.899999999999864
1.05e6,1950.0,830.0416038777477,60.09999999999991
1.05e6,2000.0,854.981871011697,60.299999999999955
1.05e6,2050.0,879.8942658583654,60.399999999999864
1.05e6,2100.0,904.7659569127753,60.5
1.05e6,2150.0,929.6109420315413,60.69999999999982
1.05e6,2200.0,954.4254483813808,60.799999999999955
1.05e6,2250.0,979.2199754096316,61.0
1.05e6,2300.0,1003.9801883433149,61.200000000000045
1.05e6,2350.0,1028.7334240351404,61.299999999999955
1.05e6,2400.0,1053.4558632490837,61.399999999999864
1.05e6,2450.0,1078.1815964831271,61.59999999999991
1.05e6,2500.0,1102.879041408065,61.700000000000045
1.05e6,2550.0,1127.5585776303017,61.799999999999955
1.05e6,2600.0,1152.2306751409644,61.899999999999864
1.05e6,2650.0,1176.8971911776864,62.09999999999991
1.05e6,2700.0,1201.5396795324368,62.200000000000045
1.05e6,2750.0,1226.1790837688698,62.30000000000018
1.05e6,2800.0,1250.8184877595806,62.5
1.05e6,2850.0,1275.4274977934756,62.59999999999991
1.05e6,2900.0,1300.039705328496,62.799999999999955
1.05e6,2950.0,1324.6577567392771,62.799999999999955
1.05e6,3000.0,1349.269367242335,63.0
1.05e6,3050.0,1373.8666926317915,63.100000000000136
1.05e6,3100.0,1398.4622192441414,63.200000000000045
1.05e6,3150.0,1423.0480548949472,63.299999999999955
1.05e6,3200.0,1447.6310726442505,63.40000000000009
1.05e6,3250.0,1472.2024905898875,63.5
1.05e6,3300.0,1496.7873382333346,63.600000000000136
1.05e6,3350.0,1521.3757869522628,63.799999999999955
1.05e6,3400.0,1545.92809872997,63.799999999999955
1.05e6,3450.0,1570.512788318163,64.0
1.05e6,3500.0,1595.08054989177,64.19999999999982
1.05e6,3550.0,1619.6500316558206,64.20000000000005
1.05e6,3600.0,1644.2298281739736,64.29999999999995
1.05e6,3650.0,1668.797084130476,64.40000000000009
1.05e6,3700.0,1693.3602056437212,64.59999999999991
1.05e6,3750.0,1717.9101102954485,64.69999999999982
1.05e6,3800.0,1742.4975207031405,64.70000000000005
1.05e6,3850.0,1767.0432944301742,64.89999999999986
1.05e6,3900.0,1791.6259049697794,65.0
1.05e6,3950.0,1816.192874917558,65.09999999999991
1.05e6,4000.0,1840.7490508254489,65.20000000000005
1.05e6,4050.0,1865.329710870068,65.20000000000005
1.05e6,4100.0,1889.8943536004729,65.40000000000009
1.05e6,4150.0,1914.4753486554253,65.5
1.05e6,4200.0,1939.046087516883,65.5
1.05e6,4250.0,1963.6193088210186,65.59999999999991
1.05e6,4300.0,1988.1899539577953,65.80000000000018
1.05e6,4350.0,2012.745308205079,65.80000000000018
1.05e6,4400.0,2037.344322640786,66.0
1.05e6,4450.0,2061.920656178935,66.0
1.05e6,4500.0,2086.492457444548,66.09999999999991
1.05e6,4550.0,2111.0748864114003,66.20000000000005
1.05e6,4600.0,2135.669008447706,66.29999999999995
1.05e6,4650.0,2160.2490381999164,66.40000000000009
1.05e6,4700.0,2184.8299649661312,66.5
1.05e6,4750.0,2209.4221997209897,66.60000000000014
1.05e6,4800.0,2234.0259973066522,66.70000000000005
1.05e6,4850.0,2258.6195352646623,66.79999999999995
1.05e6,4900.0,2283.217533159374,66.79999999999995
1.05e6,4950.0,2307.813712343441,66.90000000000009
1.05e6,5000.0,2332.3890038441577,67.10000000000014
1.05e6,5050.0,2357.01891690732,67.10000000000014
1.05e6,5100.0,2381.599120496251,67.19999999999982
1.05e6,5150.0,2406.234917511444,67.30000000000018
1.05e6,5200.0,2430.8480547104514,67.29999999999995
1.05e6,5250.0,2455.4609073082906,67.40000000000009
1.05e6,5300.0,2480.0783858442783,67.5
1.05e6,5350.0,2504.6969657999452,67.59999999999991
1.05e6,5400.0,2529.314193794386,67.70000000000005
1.05e6,5450.0,2553.913997289855,67.80000000000018
1.05e6,5500.0,2578.5674253186335,67.79999999999995
1.05e6,5550.0,2603.198198382187,67.90000000000009
1.05e6,5600.0,2627.830799990025,68.0
1.05e6,5650.0,2652.4478005140113,68.09999999999991
1.05e6,5700.0,2677.1124947966705,68.19999999999982
1.05e6,5750.0,2701.7597610580788,68.20000000000005
1.05e6,5800.0,2726.40363671467,68.29999999999995
1.05e6,5850.0,2751.053853673258,68.40000000000009
1.05e6,5900.0,2775.7005155884353,68.5
1.05e6,5950.0,2800.330443129614,68.59999999999991
1.05e6,6000.0,2825.004914783479,68.59999999999991
1.1e6,1000.0,336.85689497286404,56.40000000000009
1.1e6,1050.0,365.13066820038284,56.600000000000136
1.1e6,1100.0,392.84119333333445,56.700000000000045
1.1e6,1150.0,420.11210875909677,57.0
1.1e6,1200.0,447.01201743285077,57.100000000000136
1.1e6,1250.0,473.6162762188265,57.40000000000009
1.1e6,1300.0,499.9761030002528,57.5
1.1e6,1350.0,526.115127365604,57.69999999999982
1.1e6,1400.0,552.0782174711438,57.799999999999955
1.1e6,1450.0,577.8937055399085,58.09999999999991
1.1e6,1500.0,603.5677717643395,58.200000000000045
1.1e6,1550.0,629.1199417861337,58.40000000000009
1.1e6,1600.0,654.5798359978762,58.59999999999991
1.1e6,1650.0,679.939012220263,58.69999999999982
1.1e6,1700.0,705.2303134555428,58.90000000000009
1.1e6,1750.0,730.4418159186654,59.0
1.1e6,1800.0,755.6004023977731,59.299999999999955
1.1e6,1850.0,780.6977928030044,59.399999999999864
1.1e6,1900.0,805.7374624145394,59.59999999999991
1.1e6,1950.0,830.7504486590865,59.700000000000045
1.1e6,2000.0,855.7111448651322,59.90000000000009
1.1e6,2050.0,880.6327073548604,60.0
1.1e6,2100.0,905.5203609634248,60.09999999999991
1.1e6,2150.0,930.3921638147934,60.299999999999955
1.1e6,2200.0,955.2179104783464,60.40000000000009
1.1e6,2250.0,980.0337941486453,60.59999999999991
1.1e6,2300.0,1004.8240522287364,60.799999999999955
1.1e6,2350.0,1029.594098244347,60.90000000000009
1.1e6,2400.0,1054.3343966924988,61.09999999999991
1.1e6,2450.0,1079.0767922412194,61.200000000000045
1.1e6,2500.0,1103.7933048356472,61.299999999999955
1.1e6,2550.0,1128.4848009915795,61.5
1.1e6,2600.0,1153.1859583826213,61.59999999999991
1.1e6,2650.0,1177.8627192116282,61.69999999999982
1.1e6,2700.0,1202.530739631939,61.799999999999955
1.1e6,2750.0,1227.1907113494347,61.90000000000009
1.1e6,2800.0,1251.841402258452,62.09999999999991
1.1e6,2850.0,1276.4824835155453,62.200000000000045
1.1e6,2900.0,1301.1150197120746,62.299999999999955
1.1e6,2950.0,1325.7479429198497,62.40000000000009
1.1e6,3000.0,1350.35072813201,62.59999999999991
1.1e6,3050.0,1374.9809344833027,62.700000000000045
1.1e6,3100.0,1399.5883285599969,62.799999999999955
1.1e6,3150.0,1424.2008617318756,62.899999999999864
1.1e6,3200.0,1448.8031352000096,63.09999999999991
1.1e6,3250.0,1473.409567089158,63.19999999999982
1.1e6,3300.0,1498.0010691181296,63.299999999999955
1.1e6,3350.0,1522.5968608441485,63.40000000000009
1.1e6,3400.0,1547.1877871757017,63.5
1.1e6,3450.0,1571.7865450041184,63.59999999999991
1.1e6,3500.0,1596.3714149232705,63.700000000000045
1.1e6,3550.0,1620.9542336725506,63.799999999999955
1.1e6,3600.0,1645.55132301956,64.0
