R,amplitude,period
5845.966922310564,2650.4232946583074,60.526598706349944
5683.6686883262755,2573.489548669168,60.11502231768185
4550.3983796519615,2034.530084839973,58.60232273822248
1742.9116490147019,691.9375075640534,51.76969984265361
4521.390131073386,2020.7276857126162,58.2397195166443
7277.642726789005,3333.2627045568324,62.12270040304821
6155.755622876416,2798.3811332261616,60.844481087639
6786.492506968912,3099.029156755027,61.50720847832531
3855.3068582564206,1703.8449376900217,57.26292722763992
3708.823687301972,1633.9919982987335,56.92873874415466
2747.828241324046,1176.3963023482495,54.517399012378405
5244.509932925745,2364.394955652442,59.311622500457815
6274.388006070371,2854.634063620097,60.99933083538201
4595.6415597958985,2056.0529005295307,58.28651750733616
6527.113794045101,2975.23412452914,61.105845494711275
4332.610955938467,1930.8918518959626,58.13647767848198
9796.939487923977,4537.565147205884,64.71172908089244
4523.418004349464,2021.7207365350666,58.420644927058675
5407.311651297025,2441.933615025621,59.93451553270387
5420.188582178591,2447.9856833384147,59.630983756339845
4028.7048143090306,1785.9510889605315,57.58593012953793
2553.595365621822,1083.3158721016177,53.99138741507937
2860.105564798716,1229.7306655559923,55.31120731024612
7463.6892547596535,3421.5464025541773,62.43697472033631
4328.61807333973,1929.116850798623,57.83166033704401
6256.848689110945,2846.4301808207465,60.68091933559498
4949.2717483487995,2224.266771430737,59.150268083848516
3851.389244948259,1701.7869407539736,56.832919119932285
5468.682133163999,2471.0603147675856,59.772595472604166
12729.548563368156,5945.205093856958,67.04412606418953
5900.697615202473,2676.5416702222046,60.550162677982655
5794.813690720113,2626.2684976432265,60.136209509838636
2755.813019505872,1179.9325417362056,54.4853888540826
6267.571818975261,2851.423818353445,61.20356018211896
3040.2616640607444,1315.747745720704,55.13525695666317
4711.93059423234,2111.201203349464,58.72263737394201
4756.3763363342405,2132.1813332655233,58.86900022236847
8081.115786338443,3716.188066275341,63.04710780064738
3461.9427046357314,1516.8746688256601,56.26792081063974
6359.904880864822,2895.1617408018997,61.34239514071794
8050.833895513857,3701.2278357428854,62.928975465651945
7029.219857055524,3214.097720883338,61.90087289285458
3452.0235766883648,1512.0161470289768,56.47357486753435
6701.510280112347,3058.3493115245524,61.48539695414274
4616.402077654383,2065.395186622715,58.35057512534047
3866.7642668732947,1709.036564289048,57.250360829850536
4590.548809337191,2053.083870576837,58.157728309958486
5600.265539934381,2533.7477468328543,60.18103368369782
2257.887942943994,941.4812559321806,53.34626693015775
10041.208844178036,4654.5342556621445,64.72183523994158
5161.299003618985,2324.963131805479,59.398845050419595
4755.048868596568,2131.894984189571,58.71699031695624
2203.908346267205,915.6340139297539,53.384617873517584
2721.4470187545735,1163.8211708576168,54.575751737568396
5675.930180855263,2570.0089646377182,60.241479420725796
5547.3356494929685,2508.6996720214297,60.13768792513076
3183.7534263343255,1384.29534606357,55.508471049105424
4874.376582389399,2188.62995693713,58.90774104903312
5170.792838975658,2329.639291240215,59.42070363176367
4453.456287960336,1988.3730066896933,58.312835745671464
3728.1805145235257,1643.0713726522883,57.18952880456237
8542.924141084257,3936.8157539844406,63.5207498054163
3460.8355529510222,1515.77437356598,56.46501931547374
3197.535354917867,1390.9423211063327,55.517292663657315
2800.3713217066543,1201.1903959681708,54.561433378291895
3487.178014397751,1528.8882207233537,56.54900019449701
8329.891365901267,3834.967442254684,63.01927587652085
6983.511109690723,3192.332086072285,61.830668354941736
4436.2235175771275,1980.0345144584567,58.27367493734033
3676.672922236311,1619.052212683426,56.7365085556342
1865.8872676512178,751.8989234551182,52.14236253019919
5098.421203769987,2295.1862001828476,59.36967792876504
3420.486963742625,1497.1206165543333,56.13542250524773
6076.615574568316,2760.651957594082,60.701449901571664
4931.974199509008,2215.8986807735273,58.958561902283975
