t,M,P,model,gene
52.0,1.0353732432328508,111.58629776957909,Repressilator,Gene 1
53.0,1.3678616219341762,144.39115814779657,Repressilator,Gene 1
54.0,1.787452743697156,188.09156249210915,Repressilator,Gene 1
55.0,2.302493985291007,245.04501711240377,Repressilator,Gene 1
56.0,2.91410141050769,317.515406946483,Repressilator,Gene 1
57.0,3.613319861282227,407.30399190481893,Repressilator,Gene 1
58.0,4.380075811634542,515.3372559693404,Repressilator,Gene 1
59.0,5.184861360904345,641.3190895607124,Repressilator,Gene 1
60.0,5.992955026319223,783.5617581979725,Repressilator,Gene 1
61.0,6.769768487908375,939.0614761482315,Repressilator,Gene 1
62.0,7.485449565931042,1103.7989925000068,Repressilator,Gene 1
63.0,8.117392009650686,1273.169741398552,Repressilator,Gene 1
64.0,8.650270488601306,1442.4182241245533,Repressilator,Gene 1
65.0,9.0739569079275,1606.9685683740481,Repressilator,Gene 1
66.0,9.379911903744915,1762.583263247915,Repressilator,Gene 1
67.0,9.556590402222383,1905.319887150636,Repressilator,Gene 1
68.0,9.584591218446171,2031.285051351913,Repressilator,Gene 1
69.0,9.43349285631065,2136.2277566483076,Repressilator,Gene 1
70.0,9.065020117100861,2215.1221201875687,Repressilator,Gene 1
71.0,8.44904172082377,2262.0988319296384,Repressilator,Gene 1
72.0,7.591876318144203,2271.2545538500076,Repressilator,Gene 1
73.0,6.5571035415586385,2238.540706298932,Repressilator,Gene 1
74.0,5.452574728178377,2163.8989548038676,Repressilator,Gene 1
75.0,4.38866905199756,2052.12120016529,Repressilator,Gene 1
76.0,3.442622252251421,1911.7777398387968,Repressilator,Gene 1
77.0,2.649346039938542,1753.0481230154207,Repressilator,Gene 1
78.0,2.0112721826796487,1585.705693938864,Repressilator,Gene 1
79.0,1.512689240720535,1417.8969216504825,Repressilator,Gene 1
80.0,1.1308411576257251,1255.7057847355868,Repressilator,Gene 1
81.0,0.8424329238390068,1103.228942965915,Repressilator,Gene 1
82.0,0.6266881075911513,962.8942470436114,Repressilator,Gene 1
83.0,0.4663702916138568,835.8468459446219,Repressilator,Gene 1
84.0,0.34778038297371777,722.3112630765213,Repressilator,Gene 1
85.0,0.2603234416106036,621.8925333585554,Repressilator,Gene 1
86.0,0.19595290005869695,533.8091361578793,Repressilator,Gene 1
87.0,0.1486345969192015,457.06405499325314,Repressilator,Gene 1
88.0,0.11388580862911485,390.56509249349926,Repressilator,Gene 1
89.0,0.08840220520355106,333.2060016442701,Repressilator,Gene 1
90.0,0.06976707640594801,283.9186071193401,Repressilator,Gene 1
91.0,0.05623014473833419,241.70415387274383,Repressilator,Gene 1
92.0,0.04654170400179345,205.65022707614642,Repressilator,Gene 1
93.0,0.03982907537829067,174.937975559021,Repressilator,Gene 1
94.0,0.03550571828161179,148.8430707296125,Repressilator,Gene 1
95.0,0.03320735069847664,126.73283003186927,Repressilator,Gene 1
96.0,0.03275183741915311,108.06122642336314,Repressilator,Gene 1
97.0,0.03412012502289967,92.36308084596305,Repressilator,Gene 1
