t,M,P,model,sim,gene
59,0.011414072014775657,4.339758550030305,Toggle,1,1
60,0.011301837595511626,4.157384870041342,Toggle,1,1
61,0.011206051397835195,3.999221878818205,Toggle,1,1
62,0.011124283415719843,3.8621218775417803,Toggle,1,1
63,0.01105446910191452,3.743333822928794,Toggle,1,1
64,0.01099485273045646,3.6404561369665918,Toggle,1,1
65,0.010943939557882238,3.5513940426537958,Toggle,1,1
66,0.01090045615929296,3.4743221483150952,Toggle,1,1
67,0.01086331679576748,3.407650894620783,Toggle,1,1
68,0.010831595339608296,3.349997220261228,Toggle,1,1
69,0.010804501214523723,3.300158281813458,Toggle,1,1
70,0.010781359643792903,3.257088950012331,Toggle,1,1
71,0.010761594298127142,3.2198813645998574,Toggle,1,1
72,0.01074471287935576,3.187747410646093,Toggle,1,1
73,0.010730294925979217,3.160003398420438,Toggle,1,1
74,0.010717981179279168,3.1360563359605798,Toggle,1,1
75,0.010707464680571701,3.1153921569323835,Toggle,1,1
76,0.010698483238002168,3.0975655238320736,Toggle,1,1
77,0.010690812838511745,3.0821906985763166,Toggle,1,1
78,0.010684262088125404,3.0689336845076864,Toggle,1,1
79,0.010678667520687307,3.0575054736964886,Toggle,1,1
80,0.01067388951136747,3.0476560447751737,Toggle,1,1
81,0.010669808786926246,3.0391691462459907,Toggle,1,1
82,0.010666323491457063,3.0318578414759476,Toggle,1,1
83,0.010663346656699409,3.0255605985432124,Toggle,1,1
84,0.010660804019475709,3.0201378671014676,Toggle,1,1
85,0.0106586321271939,3.015469057136371,Toggle,1,1
86,0.01065677681304864,3.011450070809395,Toggle,1,1
87,0.010655191841710022,3.0079910736077076,Toggle,1,1
88,0.010653837746818743,3.005014557413634,Toggle,1,1
89,0.010652680825689912,3.00245364639646,Toggle,1,1
90,0.01065169229576806,3.0002506510985567,Toggle,1,1
91,0.010650847584046365,2.998355830300768,Toggle,1,1
92,0.010650125713322788,2.996726309514289,Toggle,1,1
93,0.010649508772820256,2.9953251380551422,Toggle,1,1
94,0.010648981469683821,2.9941204790700513,Toggle,1,1
95,0.010648530744575967,2.993084905187947,Toggle,1,1
96,0.010648145445851277,2.9921947937707865,Toggle,1,1
97,0.010647816050154576,2.99142980299248,Toggle,1,1
98,0.01064753442367595,2.9907724189654883,Toggle,1,1
99,0.01064729361909283,2.9902075656823754,Toggle,1,1
100,0.010647087702406525,2.9897222684861218,Toggle,1,1
101,0.010646911607731178,2.9893053676084125,Toggle,1,1
102,0.010646761008990398,2.9889472677213895,Toggle,1,1
103,0.010646632205793427,2.9886397062786125,Toggle,1,1
104,0.010646522036982414,2.9883755752726358,Toggle,1,1
105,0.010646427781687588,2.9881487269890985,Toggle,1,1
106,0.010646347139454854,2.987953923477813,Toggle,1,1
107,0.010646278144002907,2.987786660198232,Toggle,1,1
108,0.010646219108240856,2.9876430518555055,Toggle,1,1
109,0.010646168590772961,2.9875197603772916,Toggle,1,1
110,0.010646125360593077,2.9874139209746127,Toggle,1,1
111,0.010646088365257322,2.987323071574277,Toggle,1,1
112,0.01064605670202847,2.9872450906654415,Toggle,1,1
113,0.010646029598247791,2.987178154405523,Toggle,1,1
114,0.010646006398362749,2.987120706650728,Toggle,1,1
115,0.01064598653954573,2.9870714062386563,Toggle,1,1
116,0.010645969539610283,2.9870290993887796,Toggle,1,1
117,0.010645954985123333,2.986992793422481,Toggle,1,1
118,0.010645942524198374,2.9869616400146364,Toggle,1,1
119,0.01064593185545638,2.986934909739189,Toggle,1,1
120,0.010645922721726342,2.986911977732162,Toggle,1,1
121,0.010645914901962981,2.986892305962334,Toggle,1,1
122,0.010645908209676798,2.9868754372465864,Toggle,1,1
123,0.010645902478079207,2.986860964423753,Toggle,1,1
124,0.01064589757156372,2.986848552687483,Toggle,1,1
125,0.01064589336861542,2.9868379036348576,Toggle,1,1
126,0.010645889766400478,2.9868287628070753,Toggle,1,1
127,0.010645886681202837,2.9868209221978277,Toggle,1,1
128,0.010645884035043572,2.986814188579677,Toggle,1,1
129,0.010645881769092662,2.9868084143468447,Toggle,1,1
130,0.010645879826717629,2.9868034583447765,Toggle,1,1
131,0.010645878163450044,2.986799208979341,Toggle,1,1
132,0.010645876738742385,2.986795564414705,Toggle,1,1
133,0.010645875518806434,2.9867924399481147,Toggle,1,1
134,0.010645874473298029,2.986789759218827,Toggle,1,1
135,0.010645873578182388,2.986787461541298,Toggle,1,1
136,0.010645872810139775,2.9867854883329867,Toggle,1,1
137,0.01064587215255068,2.9867837971666735,Toggle,1,1
138,0.01064587158823428,2.9867823447318935,Toggle,1,1
139,0.010645871104954007,2.9867810997382267,Toggle,1,1
140,0.010645870690820536,2.9867800319620663,Toggle,1,1
141,0.010645870336854336,2.9867791186091877,Toggle,1,1
142,0.010645870033953083,2.9867783363642015,Toggle,1,1
143,0.010645869773724247,2.986777663727257,Toggle,1,1
144,0.01064586955359514,2.98677709414554,Toggle,1,1
145,0.010645869366478652,2.9867766095683055,Toggle,1,1
146,0.010645869203841809,2.9867761882470103,Toggle,1,1
147,0.0106458690644215,2.9867758267681648,Toggle,1,1
148,0.010645868948486558,2.9867755256940187,Toggle,1,1
149,0.010645868848369263,2.986775265631834,Toggle,1,1
150,0.010645868758387765,2.98677503215805,Toggle,1,1
151,0.010645868682977852,2.9867748362062305,Toggle,1,1
152,0.010645868619113983,2.9867746700978763,Toggle,1,1
153,0.010645868562256303,2.9867745223689326,Toggle,1,1
154,0.010645868512098608,2.9867743921336274,Toggle,1,1
155,0.010645868469433018,2.986774281270837,Toggle,1,1
156,0.010645868432783218,2.9867741859995935,Toggle,1,1
157,0.010645868400862223,2.9867741030254784,Toggle,1,1
158,0.01064586837332873,2.9867740314592717,Toggle,1,1
159,0.010645868349751762,2.986773970151555,Toggle,1,1
160,0.010645868329700766,2.9867739179523642,Toggle,1,1
161,0.01064586831400276,2.9867738769450294,Toggle,1,1
162,0.010645868302299539,2.9867738462210633,Toggle,1,1
163,0.010645868293425445,2.986773822812447,Toggle,1,1
164,0.010645868286214824,2.986773803751156,Toggle,1,1
165,0.010645868279502018,2.9867737860691683,Toggle,1,1
166,0.010645868272121372,2.9867737667984615,Toggle,1,1
167,0.010645868264557198,2.9867737471502065,Toggle,1,1
168,0.010645868263391275,2.9867737437834596,Toggle,1,1
169,0.010645868267066691,2.986773752748254,Toggle,1,1
