cA,amplitude,period
4.43098427867878,2301.176403231359,61.36297369895209
4.310944017566847,2302.758891226861,61.435660950874194
3.3628095583018913,2319.153639537828,62.558198806736925
3.335543013819475,2320.229898552575,62.55749959527469
5.364933374971735,2287.2910579486465,60.46738917523203
4.651134182798169,2297.229020066313,61.32461211107312
5.067028244311948,2291.422693931321,60.75066689530837
2.6560678395231765,2331.6302903206783,64.09899379127785
2.490916139946266,2333.8880979517307,64.19881741192921
1.2122648030979093,2293.469359776693,70.80303355132054
3.9680911884655847,2308.045835736956,61.95269566529612
4.732518425391544,2296.064707401073,60.74986012686884
3.40499121221689,2318.9621741741353,62.46323764762508
4.900880822096976,2293.7834397346705,61.08521842522009
3.1537068052304518,2323.3784881797274,62.698247248910775
6.63232530566294,2272.0151036289685,59.79814649548189
3.33745480956957,2320.1787107684695,62.69007337023959
4.098428558250793,2306.317617319507,61.746310995832346
4.108569642690327,2306.0091218502284,61.29779811975493
2.843639311606175,2328.7839223825367,63.508262498128886
0.8997110633775725,2218.8950030024594,74.95271009749564
1.3830095072100042,2313.225996302383,69.29363709113886
5.472557078849327,2285.4194447275704,60.42226723908209
3.149775768694777,2323.4941766016627,62.936154065273
4.720583517870642,2296.2297141849904,60.78402060411645
3.721056064390671,2312.7289332015885,62.394958667906565
2.6517331958618415,2331.7855800569887,63.98064017266921
4.146545190553677,2305.7353925666002,61.5739407479964
7.748757664089356,2261.8385862855985,59.46766593983625
4.470714369153479,2300.4764878702545,61.244409796752166
4.39351340686751,2301.7702848488134,61.25533082378422
1.2246360385910853,2295.353909978756,70.84765459973931
4.727884210467325,2296.4556987697542,61.153813328998694
1.6434478798003265,2329.0020872630585,67.73450662100572
3.5115342274978136,2316.884080881827,62.61052495204109
3.551561966131178,2316.2198468993815,62.37492944559256
5.811423533041289,2281.583112741777,60.25755863736953
2.197223016169758,2335.9065943196674,64.99276149279905
4.790235929768728,2295.512248589408,60.94332989712984
5.795417022238434,2281.6122725572695,60.16568796815449
5.216855268306354,2289.174613097329,60.65313860346163
2.184989633405971,2336.3950390049745,65.37288179973291
5.013302030235657,2291.9416555281427,61.08174301500753
3.4242080959484804,2317.9822522288664,62.35801021107801
2.668719658070148,2331.3728799516416,63.91631609655178
3.4002638701230277,2318.871912992822,62.262866549834825
4.247916552652461,2304.0298286467773,61.55931509139123
0.3749870106113531,1711.0838494833781,97.0464137647798
6.737325435383947,2271.2018668198634,59.852684904354874
3.899902268239228,2309.977169611287,62.03587752817202
3.550371879951055,2315.9861514063186,62.569496918379684
0.2718199353635291,1435.8622915940161,110.82092577025264
